inner step 4: forward: 33.73ms | predict: 3.36ms | loss: 0.68ms
inner step 4: forward: 34.78ms | predict: 4.11ms | loss: 0.30ms
inner step 4: forward: 33.54ms | predict: 3.39ms | loss: 0.70ms
inner step 4: forward: 36.97ms | predict: 3.67ms | loss: 0.73ms
inner step 4: forward: 33.92ms | predict: 3.75ms | loss: 0.70ms
inner step 4: forward: 34.30ms | predict: 4.01ms | loss: 0.63ms
inner step 4: forward: 36.66ms | predict: 3.64ms | loss: 0.72ms
inner step 4: forward: 33.21ms | predict: 3.59ms | loss: 0.71ms
inner step 4: forward: 35.88ms | predict: 3.66ms | loss: 0.70ms
inner step 4: forward: 36.31ms | predict: 3.67ms | loss: 0.73ms
inner step 4: forward: 36.28ms | predict: 3.68ms | loss: 0.72ms
inner step 4: forward: 35.68ms | predict: 3.20ms | loss: 0.72ms
inner step 4: forward: 38.64ms | predict: 3.43ms | loss: 0.47ms
inner step 4: forward: 39.35ms | predict: 2.21ms | loss: 0.38ms
inner step 4: forward: 35.86ms | predict: 3.66ms | loss: 0.70ms
inner step 4: forward: 34.52ms | predict: 3.64ms | loss: 0.70ms
inner step 4: forward: 34.30ms | predict: 3.67ms | loss: 0.74ms
inner step 4: forward: 34.86ms | predict: 3.74ms | loss: 0.71ms
inner step 4: forward: 39.07ms | predict: 2.99ms | loss: 0.46ms
inner step 4: forward: 35.31ms | predict: 2.29ms | loss: 0.34ms
inner step 4: forward: 36.35ms | predict: 3.68ms | loss: 0.69ms
inner step 4: forward: 35.83ms | predict: 3.45ms | loss: 0.78ms
inner step 4: forward: 34.82ms | predict: 2.78ms | loss: 0.36ms
inner step 4: forward: 40.60ms | predict: 2.09ms | loss: 0.34ms
inner step 4: forward: 37.73ms | predict: 3.12ms | loss: 0.34ms
inner step 4: forward: 35.27ms | predict: 2.63ms | loss: 0.33ms
inner step 4: forward: 40.02ms | predict: 3.75ms | loss: 0.71ms
inner step 4: forward: 34.93ms | predict: 3.65ms | loss: 0.73ms
inner step 4: forward: 35.22ms | predict: 3.69ms | loss: 0.75ms
inner step 4: forward: 35.05ms | predict: 3.72ms | loss: 0.72ms
inner step 4: forward: 36.82ms | predict: 3.75ms | loss: 0.72ms
inner step 4: forward: 35.63ms | predict: 3.73ms | loss: 0.70ms
inner step 4: forward: 35.40ms | predict: 3.06ms | loss: 0.76ms
inner step 4: forward: 37.45ms | predict: 3.99ms | loss: 0.36ms
inner step 4: forward: 40.47ms | predict: 1.90ms | loss: 0.35ms
inner step 4: forward: 35.98ms | predict: 3.08ms | loss: 0.44ms
inner step 4: forward: 36.34ms | predict: 3.76ms | loss: 0.69ms
inner step 4: forward: 36.09ms | predict: 3.67ms | loss: 0.72ms
inner step 4: forward: 35.73ms | predict: 3.72ms | loss: 0.79ms
inner step 4: forward: 37.44ms | predict: 2.85ms | loss: 0.36ms
inner step 4: forward: 36.38ms | predict: 2.38ms | loss: 0.77ms
inner step 4: forward: 37.19ms | predict: 3.79ms | loss: 0.70ms
inner step 4: forward: 34.45ms | predict: 3.76ms | loss: 0.70ms
inner step 4: forward: 34.56ms | predict: 3.73ms | loss: 0.69ms
inner step 4: forward: 33.86ms | predict: 4.07ms | loss: 0.81ms
inner step 4: forward: 36.80ms | predict: 2.03ms | loss: 1.13ms
inner step 4: forward: 34.80ms | predict: 3.67ms | loss: 0.70ms
inner step 4: forward: 35.87ms | predict: 3.79ms | loss: 0.72ms
inner step 4: forward: 36.68ms | predict: 3.53ms | loss: 0.73ms
inner step 4: forward: 38.35ms | predict: 2.54ms | loss: 0.37ms
inner step 4: forward: 35.83ms | predict: 3.39ms | loss: 0.78ms
inner step 4: forward: 37.45ms | predict: 2.34ms | loss: 0.36ms
inner step 4: forward: 36.25ms | predict: 2.16ms | loss: 0.34ms
inner step 4: forward: 37.38ms | predict: 2.49ms | loss: 0.46ms
inner step 4: forward: 39.49ms | predict: 3.56ms | loss: 0.73ms
inner step 4: forward: 34.81ms | predict: 2.63ms | loss: 0.35ms
inner step 4: forward: 37.81ms | predict: 2.70ms | loss: 0.88ms
inner step 4: forward: 35.21ms | predict: 2.18ms | loss: 0.76ms
inner step 4: forward: 36.58ms | predict: 3.66ms | loss: 0.74ms
inner step 4: forward: 33.83ms | predict: 2.47ms | loss: 0.35ms
inner step 4: forward: 35.53ms | predict: 2.98ms | loss: 0.77ms
inner step 4: forward: 34.77ms | predict: 3.48ms | loss: 0.33ms
inner step 4: forward: 35.17ms | predict: 2.08ms | loss: 0.32ms
inner step 4: forward: 34.13ms | predict: 2.71ms | loss: 0.75ms
inner step 4: forward: 34.75ms | predict: 3.66ms | loss: 0.32ms
inner step 4: forward: 34.29ms | predict: 2.38ms | loss: 0.70ms
inner step 4: forward: 34.34ms | predict: 3.72ms | loss: 0.33ms
inner step 4: forward: 34.10ms | predict: 2.82ms | loss: 0.72ms
inner step 4: forward: 35.25ms | predict: 3.79ms | loss: 0.70ms
inner step 4: forward: 36.44ms | predict: 2.73ms | loss: 0.34ms
inner step 4: forward: 37.12ms | predict: 3.82ms | loss: 0.78ms
inner step 4: forward: 36.90ms | predict: 1.79ms | loss: 0.34ms
inner step 4: forward: 36.35ms | predict: 2.23ms | loss: 0.37ms
inner step 4: forward: 35.13ms | predict: 3.25ms | loss: 0.36ms
inner step 4: forward: 36.23ms | predict: 2.15ms | loss: 0.35ms
inner step 4: forward: 35.78ms | predict: 2.36ms | loss: 0.76ms
inner step 4: forward: 37.00ms | predict: 3.49ms | loss: 0.39ms
inner step 4: forward: 38.65ms | predict: 3.13ms | loss: 0.37ms
inner step 4: forward: 35.85ms | predict: 3.05ms | loss: 0.35ms
inner step 4: forward: 34.34ms | predict: 3.67ms | loss: 0.71ms
inner step 4: forward: 35.78ms | predict: 2.36ms | loss: 0.39ms
inner step 4: forward: 39.27ms | predict: 2.54ms | loss: 0.34ms
inner step 4: forward: 34.95ms | predict: 3.79ms | loss: 0.69ms
inner step 4: forward: 41.86ms | predict: 3.26ms | loss: 0.32ms
inner step 4: forward: 34.83ms | predict: 3.73ms | loss: 0.71ms
inner step 4: forward: 34.86ms | predict: 3.79ms | loss: 0.73ms
inner step 4: forward: 35.04ms | predict: 2.32ms | loss: 0.33ms
inner step 4: forward: 35.07ms | predict: 3.40ms | loss: 0.32ms
inner step 4: forward: 36.01ms | predict: 2.18ms | loss: 0.40ms
inner step 4: forward: 34.92ms | predict: 3.64ms | loss: 0.75ms
inner step 4: forward: 35.89ms | predict: 3.40ms | loss: 0.70ms
inner step 4: forward: 35.85ms | predict: 3.86ms | loss: 0.74ms
inner step 4: forward: 35.16ms | predict: 3.62ms | loss: 0.71ms
inner step 4: forward: 35.14ms | predict: 4.08ms | loss: 0.83ms
inner step 4: forward: 35.11ms | predict: 3.65ms | loss: 0.77ms
inner step 4: forward: 36.60ms | predict: 3.83ms | loss: 0.75ms
inner step 4: forward: 35.05ms | predict: 3.73ms | loss: 0.71ms
inner step 4: forward: 34.67ms | predict: 3.89ms | loss: 0.39ms
inner step 4: forward: 35.65ms | predict: 3.95ms | loss: 0.81ms
inner step 4: forward: 35.45ms | predict: 3.71ms | loss: 0.74ms
inner step 4: forward: 36.11ms | predict: 3.82ms | loss: 0.73ms
inner step 4: forward: 34.94ms | predict: 4.12ms | loss: 0.39ms
inner step 4: forward: 36.63ms | predict: 3.82ms | loss: 0.72ms
inner step 4: forward: 35.87ms | predict: 3.78ms | loss: 0.73ms
inner step 4: forward: 34.72ms | predict: 2.91ms | loss: 0.36ms
inner step 4: forward: 35.27ms | predict: 3.90ms | loss: 0.88ms
inner step 4: forward: 35.92ms | predict: 3.75ms | loss: 0.72ms
inner step 4: forward: 34.57ms | predict: 4.10ms | loss: 0.82ms
inner step 4: forward: 35.76ms | predict: 3.58ms | loss: 0.82ms
inner step 4: forward: 40.85ms | predict: 2.61ms | loss: 0.43ms
inner step 4: forward: 36.66ms | predict: 3.24ms | loss: 0.95ms
inner step 4: forward: 35.12ms | predict: 3.35ms | loss: 0.51ms
inner step 4: forward: 38.08ms | predict: 3.55ms | loss: 0.73ms
inner step 4: forward: 36.04ms | predict: 2.77ms | loss: 0.75ms
inner step 4: forward: 35.68ms | predict: 2.77ms | loss: 0.73ms
inner step 4: forward: 35.61ms | predict: 2.81ms | loss: 0.73ms
inner step 4: forward: 36.63ms | predict: 3.21ms | loss: 0.38ms
inner step 4: forward: 37.85ms | predict: 3.34ms | loss: 0.43ms
inner step 4: forward: 36.79ms | predict: 2.55ms | loss: 0.33ms
inner step 4: forward: 34.55ms | predict: 2.44ms | loss: 0.90ms
inner step 4: forward: 35.69ms | predict: 2.43ms | loss: 0.35ms
inner step 4: forward: 36.04ms | predict: 2.22ms | loss: 0.35ms
inner step 4: forward: 35.46ms | predict: 2.28ms | loss: 0.36ms
inner step 4: forward: 36.99ms | predict: 3.80ms | loss: 0.73ms
inner step 4: forward: 36.83ms | predict: 3.52ms | loss: 0.36ms
inner step 4: forward: 34.85ms | predict: 2.80ms | loss: 0.39ms
inner step 4: forward: 36.47ms | predict: 2.47ms | loss: 0.78ms
inner step 4: forward: 34.32ms | predict: 3.17ms | loss: 0.86ms
inner step 4: forward: 34.89ms | predict: 3.72ms | loss: 0.73ms
inner step 4: forward: 34.80ms | predict: 4.15ms | loss: 0.84ms
inner step 4: forward: 35.07ms | predict: 3.75ms | loss: 0.73ms
inner step 4: forward: 34.02ms | predict: 3.77ms | loss: 0.74ms
inner step 4: forward: 36.13ms | predict: 4.07ms | loss: 0.84ms
inner step 4: forward: 34.19ms | predict: 3.48ms | loss: 0.34ms
inner step 4: forward: 35.14ms | predict: 3.72ms | loss: 0.74ms
inner step 4: forward: 37.44ms | predict: 3.63ms | loss: 0.76ms
inner step 4: forward: 46.54ms | predict: 3.82ms | loss: 0.76ms
inner step 4: forward: 33.69ms | predict: 3.58ms | loss: 0.73ms
inner step 4: forward: 34.65ms | predict: 2.21ms | loss: 0.45ms
inner step 4: forward: 35.05ms | predict: 3.75ms | loss: 0.71ms
inner step 4: forward: 35.09ms | predict: 3.69ms | loss: 0.78ms
inner step 4: forward: 38.40ms | predict: 2.13ms | loss: 0.42ms
inner step 4: forward: 36.02ms | predict: 2.63ms | loss: 0.40ms
inner step 4: forward: 38.12ms | predict: 2.72ms | loss: 0.74ms
inner step 4: forward: 50.70ms | predict: 3.27ms | loss: 0.81ms
inner step 4: forward: 36.80ms | predict: 2.04ms | loss: 0.39ms
inner step 4: forward: 35.33ms | predict: 3.64ms | loss: 0.44ms
inner step 4: forward: 35.32ms | predict: 3.63ms | loss: 0.73ms
inner step 4: forward: 37.29ms | predict: 2.88ms | loss: 0.37ms
inner step 4: forward: 35.29ms | predict: 3.77ms | loss: 0.72ms
inner step 4: forward: 34.93ms | predict: 2.04ms | loss: 0.43ms
inner step 4: forward: 36.10ms | predict: 2.83ms | loss: 0.71ms
inner step 4: forward: 40.15ms | predict: 2.21ms | loss: 0.37ms
inner step 4: forward: 35.49ms | predict: 2.57ms | loss: 0.34ms
inner step 4: forward: 34.87ms | predict: 1.91ms | loss: 0.39ms
inner step 4: forward: 34.73ms | predict: 2.43ms | loss: 0.34ms
inner step 4: forward: 35.37ms | predict: 3.72ms | loss: 0.75ms
inner step 4: forward: 35.15ms | predict: 3.97ms | loss: 0.72ms
inner step 4: forward: 34.60ms | predict: 3.73ms | loss: 0.73ms
inner step 4: forward: 34.63ms | predict: 3.72ms | loss: 0.72ms
inner step 4: forward: 34.62ms | predict: 3.68ms | loss: 0.85ms
inner step 4: forward: 34.24ms | predict: 3.74ms | loss: 0.69ms
inner step 4: forward: 34.34ms | predict: 3.81ms | loss: 0.70ms
inner step 4: forward: 34.95ms | predict: 3.71ms | loss: 0.71ms
