PNL Durations: NeuronLayer: 4.00ms | WindowMeans: 0.22ms | WindowWeighting: 32.11ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.31ms | WindowMeans: 0.17ms | WindowWeighting: 30.40ms | CombineLayer: 0.04ms
PNL Durations: NeuronLayer: 0.91ms | WindowMeans: 0.20ms | WindowWeighting: 30.62ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.96ms | WindowMeans: 0.15ms | WindowWeighting: 30.60ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 2.51ms | WindowMeans: 0.25ms | WindowWeighting: 31.75ms | CombineLayer: 0.08ms
PNL Durations: NeuronLayer: 1.01ms | WindowMeans: 0.14ms | WindowWeighting: 30.19ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.09ms | WindowMeans: 0.20ms | WindowWeighting: 30.34ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.44ms | WindowMeans: 0.13ms | WindowWeighting: 30.13ms | CombineLayer: 0.08ms
PNL Durations: NeuronLayer: 3.42ms | WindowMeans: 1.25ms | WindowWeighting: 323.89ms | CombineLayer: 0.09ms
PNL Durations: NeuronLayer: 2.12ms | WindowMeans: 0.17ms | WindowWeighting: 30.60ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.99ms | WindowMeans: 0.36ms | WindowWeighting: 31.07ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.41ms | WindowMeans: 0.18ms | WindowWeighting: 31.03ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.07ms | WindowMeans: 0.20ms | WindowWeighting: 33.79ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.10ms | WindowMeans: 0.31ms | WindowWeighting: 33.34ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.98ms | WindowMeans: 0.13ms | WindowWeighting: 30.52ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.26ms | WindowMeans: 0.13ms | WindowWeighting: 30.32ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.08ms | WindowMeans: 0.17ms | WindowWeighting: 31.73ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.90ms | WindowMeans: 0.14ms | WindowWeighting: 31.34ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.07ms | WindowMeans: 0.12ms | WindowWeighting: 30.15ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 0.89ms | WindowMeans: 0.12ms | WindowWeighting: 33.25ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.18ms | WindowMeans: 0.18ms | WindowWeighting: 31.80ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.93ms | WindowMeans: 0.17ms | WindowWeighting: 30.43ms | CombineLayer: 0.05ms
