2025-04-01 12:08:22 | 10 | LR0.0003 | loss44.4838 | gradNorm0.9999 | logitMin-34.5793 | logitMax-3.2770 | memoryGate0.3333 | scheduledSampling0.0 | tokenCount3.0 | Training
2025-04-01 12:08:50 | 20 | LR0.0003 | loss48.7268 | gradNorm1.0000 | tokenCount3.0 | logitMin-18.0944 | logitMax11.3677 | memoryGate0.3333 | Training
2025-04-01 12:09:18 | 30 | LR0.0003 | loss39.1048 | gradNorm1.0000 | tokenCount3.0 | logitMin-30.0748 | logitMax-5.0849 | memoryGate0.3333 | Training
2025-04-01 12:09:47 | 40 | LR0.0003 | loss34.2275 | gradNorm0.9999 | tokenCount3.0 | logitMin-48.6296 | logitMax-18.3814 | memoryGate0.3333 | Training
2025-04-01 12:10:16 | 50 | LR0.0003 | loss41.0097 | gradNorm0.9999 | tokenCount3.0 | logitMin-29.5186 | logitMax-5.0730 | memoryGate0.3333 | Training
2025-04-01 12:10:44 | 60 | LR0.0003 | loss41.4989 | gradNorm0.9999 | tokenCount3.0 | logitMin-41.5367 | logitMax-13.5112 | memoryGate0.3333 | Training
2025-04-01 12:11:48 | 70 | LR0.0003 | loss44.2336 | gradNorm0.9999 | tokenCount3.0 | logitMin-40.7140 | logitMax-13.2904 | memoryGate0.3333 | Training
2025-04-01 12:13:16 | 80 | LR0.0003 | loss25.9143 | gradNorm0.9999 | tokenCount3.0 | logitMin-40.2713 | logitMax-12.6245 | memoryGate0.3333 | Training
2025-04-01 12:14:19 | 90 | LR0.0003 | loss44.7216 | gradNorm0.9999 | tokenCount3.0 | logitMin-34.8892 | logitMax-10.8788 | memoryGate0.3333 | Training
2025-04-01 12:17:38 | 100 | LR0.0003 | loss32.2352 | gradNorm0.9999 | tokenCount3.0 | logitMin-33.3302 | logitMax-9.5988 | memoryGate0.3333 | Training
2025-04-01 12:27:47 | 100 | LR0.0003 | loss27.6367 | gradNorm0.9999 | logitMin-55.5624 | logitMax-23.1680 | memoryGate0.3333 | scheduledSampling0.0 | tokenCount3.0 | Training
2025-04-01 12:32:39 | 200 | LR0.0003 | loss39.2712 | gradNorm1.0000 | tokenCount3.0 | logitMin-37.9259 | logitMax-8.0787 | memoryGate0.3333 | Training
2025-04-01 12:37:45 | 300 | LR0.0003 | loss44.9736 | gradNorm1.0000 | tokenCount3.0 | logitMin-40.2325 | logitMax-10.1579 | memoryGate0.3333 | Training
2025-04-01 12:43:04 | 400 | LR0.0003 | loss39.0474 | gradNorm0.9999 | tokenCount3.0 | logitMin-34.7129 | logitMax-8.9797 | memoryGate0.3333 | Training
2025-04-01 12:48:50 | 500 | LR0.0003 | loss32.4658 | gradNorm0.9999 | tokenCount3.0 | logitMin-36.6271 | logitMax-13.3079 | memoryGate0.3327 | Training
2025-04-01 12:53:46 | 600 | LR0.0003 | loss48.3788 | gradNorm0.9999 | tokenCount3.0 | logitMin-40.6201 | logitMax-6.0953 | memoryGate0.3333 | Training
2025-04-01 12:58:43 | 700 | LR0.0003 | loss37.4778 | gradNorm0.9999 | tokenCount3.0 | logitMin-33.9535 | logitMax-11.6043 | memoryGate0.3333 | Training
2025-04-01 13:03:51 | 800 | LR0.0003 | loss42.7151 | gradNorm1.0000 | tokenCount3.0 | logitMin-33.6290 | logitMax-6.7306 | memoryGate0.3333 | Training
2025-04-01 13:09:24 | 900 | LR0.0003 | loss44.9255 | gradNorm1.0000 | tokenCount3.0 | logitMin-32.1243 | logitMax-4.2861 | memoryGate0.3333 | Training
2025-04-01 13:21:36 | 100 | LR0.0003 | loss27.6367 | gradNorm0.9999 | logitMin-55.5624 | logitMax-23.1680 | memoryGate0.3333 | scheduledSampling0.0 | tokenCount3.0 | Training
2025-04-01 13:27:42 | 200 | LR0.0003 | loss39.2712 | gradNorm1.0000 | tokenCount3.0 | logitMin-37.9259 | logitMax-8.0787 | memoryGate0.3333 | Training
2025-04-01 13:33:30 | 300 | LR0.0003 | loss44.9736 | gradNorm1.0000 | tokenCount3.0 | logitMin-40.2325 | logitMax-10.1579 | memoryGate0.3333 | Training
2025-04-01 13:39:29 | 400 | LR0.0003 | loss39.0474 | gradNorm0.9999 | tokenCount3.0 | logitMin-34.7129 | logitMax-8.9797 | memoryGate0.3333 | Training
2025-04-01 13:45:27 | 500 | LR0.0003 | loss32.4658 | gradNorm0.9999 | tokenCount3.0 | logitMin-36.6271 | logitMax-13.3079 | memoryGate0.3327 | Training
2025-04-01 13:51:25 | 600 | LR0.0003 | loss48.3788 | gradNorm0.9999 | tokenCount3.0 | logitMin-40.6201 | logitMax-6.0953 | memoryGate0.3333 | Training
2025-04-01 13:57:18 | 700 | LR0.0003 | loss37.4778 | gradNorm0.9999 | tokenCount3.0 | logitMin-33.9535 | logitMax-11.6043 | memoryGate0.3333 | Training
2025-04-01 14:03:12 | 800 | LR0.0003 | loss42.7151 | gradNorm1.0000 | tokenCount3.0 | logitMin-33.6290 | logitMax-6.7306 | memoryGate0.3333 | Training
2025-04-01 14:09:07 | 900 | LR0.0003 | loss44.9255 | gradNorm1.0000 | tokenCount3.0 | logitMin-32.1243 | logitMax-4.2861 | memoryGate0.3333 | Training
2025-04-01 14:15:02 | 1000 | LR0.0003 | loss45.0679 | gradNorm1.0000 | tokenCount3.0 | logitMin-31.5090 | logitMax-2.9547 | memoryGate0.3253 | Training
